herv_name	gene_name	source
ERV:MSTA	ENSG00000310537	TAD
ERV:MSTA	ENSG00000250122	TAD
ERV:MSTA	CDC26P1	TAD
ERV:MSTA	ENSG00000309559	TAD
ERV:MSTA	MOB2	TAD
ERV:MSTA	KRTAP3-3	TAD
ERV:MSTA	ENSG00000297622	TAD
ERV:MSTA	ENSG00000286288	TAD
ERV:MSTA	RNF26	TAD
ERV:MSTA	NFE2L2	TAD
ERV:MSTA	ST7-AS2	TAD
ERV:MSTA	RN7SL338P	TAD
ERV:MSTA	OAZ3	TAD
ERV:MSTA	DAOA-AS1	TAD
ERV:MSTA	ENSG00000255893	TAD
ERV:MSTA	FLVCR1-DT	TAD
ERV:MSTA	MED19	TAD
ERV:MSTA	ENSG00000308467	TAD
ERV:MSTA	FNTAP1	TAD
ERV:MSTA	ENSG00000225898	TAD
